no,id,item,generator,condition,assertion,file,line_start,line_end,commit,quote,why,auditor_verdict,auditor_note
P2-046,PR_gem_terse_H02_s3#3,H02,gemini-3.8-flash,concise,await expect(page.getByPlaceholder('Write a comment...')).toHaveCount(0),specs/e2e/comments.spec.ts,102,113,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should require login to post comment', async ({ page, browser }) => {
    // Create a new context without authentication (not sharing cookies with page)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    // Visit the article and wait for navigation
    await page2.goto(page.url(), { waitUntil: 'load' });
    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();
    await context2.close();
  });","測試明確驗證了在未登入訪客訪問文章頁時，留言輸入框 textarea[placeholder=""Write a comment...""] 不應可見。",,
P2-047,PR_gem_terse_H02_s3#4,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('link', { name: 'Sign in' }).first()).toBeVisible()",specs/e2e/comments.spec.ts,108,112,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();",E2E 測試明確驗證未登入訪客訪問文章頁面時，應看到導向登入（Sign in）的連結而不是留言表單。,,
P2-048,PR_gem_terse_H02_s3#6,H02,gemini-3.8-flash,concise,"await expect(page.locator('.ion-trash-a, .mod-options i, button i.ion-trash-a')).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,14,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)
  - Render markdown from server client side
  - Comments section at bottom of page
  - Delete comment button (only shown to comment's author)",規格明確規範文章頁的留言刪除按鈕僅對留言作者顯示，因此未登入訪客不應看到任何刪除按鈕。,,
P2-049,PR_gem_terse_H02_s3#7,H02,gemini-3.8-flash,concise,await expect(page.getByText(authorCommentText)).toBeVisible(),specs/e2e/comments.spec.ts,86,96,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should display multiple comments', async ({ page }) => {
    const comment1 = 'First comment';
    const comment2 = 'Second comment';
    const comment3 = 'Third comment';
    await addComment(page, comment1);
    await addComment(page, comment2);
    await addComment(page, comment3);
    // All comments should be visible (exclude comment form)
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${comment1}"")`)).toBeVisible();
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${comment2}"")`)).toBeVisible();
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${comment3}"")`)).toBeVisible();",公開 E2E 測試明文測試了在文章下有多則留言時，既有的每則留言內容都必須在頁面上保持可見。,,
P2-050,PR_gem_terse_H02_s3#8,H02,gemini-3.8-flash,concise,await expect(page.getByText(readerCommentText)).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",官方 E2E 測試明確驗證了在文章頁發表留言後，該留言內容在頁面上必須可見。,,
P2-051,PR_gem_terse_H02_s3#9,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: /Delete Article/i })).toHaveCount(0)",specs/e2e/articles.spec.ts,282,305,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should only allow author to edit/delete article', async ({ page, browser }) => {
    const article = generateUniqueArticle();

    // Create article as first user
    await createArticle(page, article);

    // Get article URL
    const articleUrl = page.url();

    // Create a second user in new context (not sharing cookies with first user)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    const user2 = generateUniqueUser();
    await register(page2, user2.username, user2.email, user2.password);

    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();

    await context2.close();
  });",E2E 測試明確驗證非作者的已登入使用者在文章頁不應看到 Delete Article 按鈕。,,
P2-052,PR_gem_terse_H02_s3#10,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('link', { name: /Edit Article/i })).toHaveCount(0)",specs/e2e/articles.spec.ts,300,302,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();",E2E 測試明文驗證非文章作者的使用者瀏覽該文章頁面時，不應看見 Edit Article 連結。,,
P2-053,PR_gem_terse_H02_s3#11,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: /Follow/i }).first()).toBeVisible()",specs/e2e/SELECTORS.md,120,120,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"| `Follow` / `Unfollow`     | `button` | Profile, article meta    |",契約明確規定在文章頁的 article meta 區塊中，應有可見文字為 Follow/Unfollow 的按鈕供使用者操作。,,
P2-054,PR_gem_terse_H02_s3#12,H02,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: /Favorite/i }).first()).toBeVisible()",specs/e2e/articles.spec.ts,169,170,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Wait for article page to load - should see Favorite button (not Delete button)
    await page.waitForSelector('button:has-text(""Favorite"")', { timeout: 10000 });",測試明確斷言當登入使用者檢視非自己撰寫的文章頁時，畫面上應可見 Favorite 按鈕而非 Delete 按鈕。,,
P2-055,PR_gem_terse_H02_s3#13,H02,gemini-3.8-flash,concise,"await expect(readerCommentCard.locator('.mod-options i, i.ion-trash-a')).toBeVisible()",specs/e2e/comments.spec.ts,136,138,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Verify the delete button IS visible for OUR comment
    const ownComment = page.locator('.card', { has: page.locator(`text=""${commentText}""`) });
    await expect(ownComment.locator('span.mod-options i.ion-trash-a')).toBeVisible();",官方 E2E 測試明確斷言使用者自己留下的留言卡片中，其刪除按鈕（span.mod-options i.ion-trash-a）必須可見。,,
P2-056,PR_gem_terse_H02_s3#14,H02,gemini-3.8-flash,concise,"await expect(authorCommentCard.locator('.mod-options i, i.ion-trash-a')).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,   - Delete comment button (only shown to comment's author),規格明確規定留言的刪除按鈕僅顯示給該留言的作者，非作者的留言不可顯示刪除按鈕。,,
P2-057,PR_gem_terse_H03_s1#5,H03,gemini-3.8-flash,concise,"await expect(page.getByRole('button', { name: 'Global Feed' })).toHaveClass(/active/)",specs/e2e/url-navigation.spec.ts,84,88,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Click Global Feed
    await page.click('.nav-link:has-text(""Global Feed"")');
    // Should navigate to /
    await expect(page).toHaveURL('/');
    await expect(page.locator('.nav-link:has-text(""Global Feed"")')).toHaveClass(/active/);",契約中明確測試了點擊 Global Feed 後，該分頁連結應帶有 active class。,,
P2-058,PR_gem_terse_H03_s2#3,H03,gemini-3.8-flash,concise,await expect(currentPage2Btn).toBeVisible(),specs/e2e/url-navigation.spec.ts,133,134,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Page 2 should be active
    await expect(page.locator('.pagination .page-item:has(.page-link:has-text(""2""))')).toHaveClass(/active/);",公開契約的 E2E 測試在切換至標籤分頁第 2 頁時，明確驗證了第 2 頁按鈕/項目處於當前作用（active/current）狀態並可見。,,
P2-059,PR_gem_terse_H03_s2#5,H03,gemini-3.8-flash,concise,"await expect(newPagePagination.getByRole('button', { name: /Page 2 is your current page|2/ })).toBeVisible()",specs/e2e/url-navigation.spec.ts,150,154,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Go directly to page 2 of the tag
    await page.goto(`/tag/${uniqueTag}?page=2`);
    await page.waitForSelector('.article-preview', { timeout: 2000 });
    // Page 2 should be active
    await expect(page.locator('.pagination .page-item:has(.page-link:has-text(""2""))')).toHaveClass(/active/);",契約中明確測試直接導向標籤的第 2 頁網址（/tag/:tag?page=2）後，分頁元件上的第 2 頁按鈕/項目處於當前作用中狀態。,,
P2-060,PR_gem_terse_H03_s2#7,H03,gemini-3.8-flash,concise,"await expect(newPage.getByRole('button', { name: 'Global Feed' })).toHaveClass(/active/)",specs/e2e/url-navigation.spec.ts,84,88,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Click Global Feed
    await page.click('.nav-link:has-text(""Global Feed"")');
    // Should navigate to /
    await expect(page).toHaveURL('/');
    await expect(page.locator('.nav-link:has-text(""Global Feed"")')).toHaveClass(/active/);",E2E 規格明確測試了點擊 Global Feed 頁籤切換後，Global Feed 連結/按鈕必須帶有 active class。,,
P2-061,PR_gem_terse_S02_s1#0,S02,gemini-3.8-flash,concise,await expect(page.locator('.error-messages')).toBeVisible(),specs/e2e/error-handling.spec.ts,50,66,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should handle 400 on registration with validation errors', async ({ page }) => {
    await mockApiError(page, '/users', 400, {
      errors: {
        email: ['is already taken'],
        username: ['is too short (minimum is 3 characters)'],
      },
    });
    await page.goto('/register');
    await page.fill('input[name=""username""]', 'ab');
    await page.fill('input[name=""email""]', 'taken@test.com');
    await page.fill('input[name=""password""]', 'password123');
    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();
  });",E2E 測試明確驗證註冊遭遇 email 已被佔用等錯誤時，畫面上會顯示 .error-messages 錯誤訊息。,,
P2-062,PR_gem_terse_S02_s2#1,S02,gemini-3.8-flash,concise,await expect(page.locator('.error-messages')).toBeVisible(),specs/e2e/error-handling.spec.ts,50,66,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should handle 400 on registration with validation errors', async ({ page }) => {
    await mockApiError(page, '/users', 400, {
      errors: {
        email: ['is already taken'],
        username: ['is too short (minimum is 3 characters)'],
      },
    });
    await page.goto('/register');
    await page.fill('input[name=""username""]', 'ab');
    await page.fill('input[name=""email""]', 'taken@test.com');
    await page.fill('input[name=""password""]', 'password123');
    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();
  });",契約中的 E2E 測試明確驗證在註冊失敗（包含 email 已經被使用）時，頁面上必須出現 .error-messages 錯誤訊息。,,
P2-063,PR_gem_terse_S02_s2#2,S02,gemini-3.8-flash,concise,await expect(page.locator('.error-messages')).toContainText(/email/i),specs/e2e/error-handling.spec.ts,50,66,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should handle 400 on registration with validation errors', async ({ page }) => {
    await mockApiError(page, '/users', 400, {
      errors: {
        email: ['is already taken'],
        username: ['is too short (minimum is 3 characters)'],
      },
    });
    await page.goto('/register');
    await page.fill('input[name=""username""]', 'ab');
    await page.fill('input[name=""email""]', 'taken@test.com');
    await page.fill('input[name=""password""]', 'password123');
    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();
  });",公開 E2E 規格中註冊失敗時的測試與範本（包含 template 中的 That email is already taken）明確規範了在註冊頁提交重複/錯誤 email 時 .error-messages 應顯示相關錯誤訊息，但未強制規定前端 .error-messages 必須包含 /email/i 字樣。,,
P2-064,PR_gem_terse_S02_s3#0,S02,gemini-3.8-flash,concise,await expect(page).toHaveURL(/.*#\/register/),specs/e2e/error-handling.spec.ts,61,64,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');",公開材料中的 E2E 測試明確驗證了註冊失敗（包括 email is already taken）時，頁面應留在註冊頁 URL（/register）不導頁。,,
P2-065,PR_gem_terse_S02_s3#1,S02,gemini-3.8-flash,concise,"await expect(page.locator('.error-messages, [role=""alert""]')).toBeVisible()",specs/e2e/error-handling.spec.ts,50,66,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should handle 400 on registration with validation errors', async ({ page }) => {
    await mockApiError(page, '/users', 400, {
      errors: {
        email: ['is already taken'],
        username: ['is too short (minimum is 3 characters)'],
      },
    });
    await page.goto('/register');
    await page.fill('input[name=""username""]', 'ab');
    await page.fill('input[name=""email""]', 'taken@test.com');
    await page.fill('input[name=""password""]', 'password123');
    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();
  });",E2E 規格中明確測試註冊時發生 email taken 等驗證錯誤時，頁面上的 .error-messages 必須可見。,,
P2-066,PR_gem_terse_S02_s3#2,S02,gemini-3.8-flash,concise,"await expect(page.locator('.error-messages, [role=""alert""]')).toContainText(/email.*has already been taken|email.*taken|already taken/i)",specs/e2e/error-handling.spec.ts,50,66,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should handle 400 on registration with validation errors', async ({ page }) => {
    await mockApiError(page, '/users', 400, {
      errors: {
        email: ['is already taken'],
        username: ['is too short (minimum is 3 characters)'],
      },
    });
    await page.goto('/register');
    await page.fill('input[name=""username""]', 'ab');
    await page.fill('input[name=""email""]', 'taken@test.com');
    await page.fill('input[name=""password""]', 'password123');
    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();
  });",E2E 測試驗證了在註冊時若 email 被佔用（'is already taken'），頁面上會顯示 .error-messages 錯誤訊息。,,
P2-067,PR_terra_precise_H01_s1#0,H01,gpt-5.6-terra,precise,"await expect(page).toHaveURL(/#\/article\//); await expect(page.getByRole('heading', { name: originalTitle })).toBeVisible(); await expect(page.getByText(body)).toBeVisible(); for (const tag of tags) { await expect(page.getByText(tag, { exact: true })).toBeVisible(); } await page.getByRole('button', { name: 'Edit Article' }).click(); await expect(page).toHaveURL(/#\/editor\//); await page.getByPlaceholder('Article Title').fill(updatedTitle); const removeTagButtons = page.locator('.tag-list i'); while (await removeTagButtons.count()) { await removeTagButtons.first().click(); } await page.getByRole('button', { name: 'Publish Article' }).click(); await expect(page).toHaveURL(/#\/article\//); await expect(page.getByRole('heading', { name: updatedTitle })).toBeVisible(); await expect(page.getByRole('heading', { name: originalTitle })).not.toBeVisible(); for (const tag of tags) { await expect(page.getByText(tag, { exact: true })).not.toBeVisible(); } }); });",specs/e2e/articles.spec.ts,38,39,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should be on article page
    await expect(page).toHaveURL(/\/article\/.+/);",公開的 E2E 測試在發佈文章後明確驗證了瀏覽器 URL 導向至文章詳細頁（/article/...）。,,
P2-068,PR_terra_precise_H02_s1#2,H02,gpt-5.6-terra,precise,await expect(page.getByText(authorCommentBody)).toBeVisible(),docs/src/content/docs/specifications/frontend/routing.md,14,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)
  - Render markdown from server client side
  - Comments section at bottom of page
  - Delete comment button (only shown to comment's author)",規格明確規範文章頁（Article page）包含留言區塊（Comments section at bottom of page），訪客進入文章頁可看見已存在的留言。,,
P2-069,PR_terra_precise_H02_s2#2,H02,gpt-5.6-terra,precise,"await expect( page.getByText('Comment written by the article author'), ).toBeVisible()",docs/src/content/docs/specifications/frontend/routing.md,14,17,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)
  - Render markdown from server client side
  - Comments section at bottom of page",前端路由規範明確規定文章頁（/article/:slug）底部包含留言區塊（Comments section），因此訪客訪問文章頁時先前留下的留言內容應可見。,,
P2-070,PR_terra_precise_H02_s2#5,H02,gpt-5.6-terra,precise,"await expect( page.getByRole('button', { name: /delete article/i }), ).not.toBeVisible()",docs/src/content/docs/specifications/frontend/routing.md,14,15,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)",規格明確規範文章頁的 Delete article button 僅在身分為文章作者時顯示，因此非作者（包含未登入訪客）不得看見該按鈕。,,
P2-071,PR_terra_precise_H02_s2#10,H02,gpt-5.6-terra,precise,await expect(visitorComment).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",E2E 測試明確驗證了在文章發布留言後，該則留言卡片內容在頁面上可見。,,
P2-072,PR_terra_precise_H02_s3#2,H02,gpt-5.6-terra,precise,await expect(page.getByText(authorCommentBody)).toBeVisible(),specs/e2e/comments.spec.ts,102,113,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should require login to post comment', async ({ page, browser }) => {
    // Create a new context without authentication (not sharing cookies with page)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    // Visit the article and wait for navigation
    await page2.goto(page.url(), { waitUntil: 'load' });
    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();
    await context2.close();
  });",公開測試中訪客訪問文章頁只驗證未登入連結與沒有留言框，未對既有留言內容的能見度做斷言。,,
P2-073,PR_terra_precise_H03_s1#11,H03,gpt-5.6-terra,precise,"await expect(page).toHaveURL(new RegExp(`${UI.replace(/[.*+?^${}()|[\]\\]/g, '\\$&')}/#/?$`))",specs/e2e/url-navigation.spec.ts,227,229,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Click Global Feed and wait for URL to change to root path
    await page.click('.nav-link:has-text(""Global Feed"")');
    await expect(page).toHaveURL('/');",契約中的 E2E 測試明確驗證了在標籤分頁（page 2）狀態下點擊 Global Feed 切回全部文章時，URL 應變更回根路徑（'/'）。,,
P2-074,PR_terra_precise_H03_s2#5,H03,gpt-5.6-terra,precise,await expect(articlePreviews).toHaveCount(5),specs/e2e/url-navigation.spec.ts,266,268,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Second page should have 5 articles (15 - 10 = 5)
    const articlesOnPage2 = await page.locator('.article-preview').count();
    expect(articlesOnPage2).toBe(5);",E2E 測試在 15 篇帶有特定標籤的文章情境下，明確測試了點選第 2 頁後應該顯示剩餘的 5 篇 article-preview。,,
P2-075,PR_terra_precise_S02_s1#1,S02,gpt-5.6-terra,precise,await expect(error).toContainText(/email.*already|already.*email|taken/i),specs/e2e/error-handling.spec.ts,50,66,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should handle 400 on registration with validation errors', async ({ page }) => {
    await mockApiError(page, '/users', 400, {
      errors: {
        email: ['is already taken'],
        username: ['is too short (minimum is 3 characters)'],
      },
    });
    await page.goto('/register');
    await page.fill('input[name=""username""]', 'ab');
    await page.fill('input[name=""email""]', 'taken@test.com');
    await page.fill('input[name=""password""]', 'password123');
    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();
  });",契約中 templates.md (267-269行) 與 error-handling.spec.ts (50-66行) 明確定義並測試註冊時 email 重複錯誤在 .error-messages 內顯示 'That email is already taken' / email 'is already taken'。,,
P2-076,PR_terra_precise_S02_s1#2,S02,gpt-5.6-terra,precise,await expect(page).toHaveURL(/#\/register$/),specs/e2e/error-handling.spec.ts,62,65,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();",公開契約的 E2E 測試明確斷言註冊失敗時頁面應維持停留在註冊頁面路由（toHaveURL('/register')）。,,
P2-077,PR_terra_precise_S02_s2#2,S02,gpt-5.6-terra,precise,await expect(page).toHaveURL(/#\/register$/),specs/e2e/error-handling.spec.ts,63,65,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();",官方 E2E 測試在註冊發生驗證錯誤（包含 email 被佔用）時，明確斷言頁面 URL 應維持在註冊頁（/register）。,,
P2-078,PR_terra_precise_S02_s3#0,S02,gpt-5.6-terra,precise,await expect(page).toHaveURL(/#\/register/),specs/e2e/error-handling.spec.ts,62,65,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();",E2E 測試明確斷言當註冊因 email 重複等驗證錯誤失敗時，頁面 URL 應維持在註冊頁（/register）。,,
P2-079,PR_terra_precise_S02_s3#2,S02,gpt-5.6-terra,precise,await expect(page.locator('.error-messages')).toContainText(/email.*already|already.*email/i),specs/e2e/error-handling.spec.ts,50,64,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should handle 400 on registration with validation errors', async ({ page }) => {
    await mockApiError(page, '/users', 400, {
      errors: {
        email: ['is already taken'],
        username: ['is too short (minimum is 3 characters)'],
      },
    });
    await page.goto('/register');
    await page.fill('input[name=""username""]', 'ab');
    await page.fill('input[name=""email""]', 'taken@test.com');
    await page.fill('input[name=""password""]', 'password123');
    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();",契約中已測冊重複 email 註冊時 API 回傳 email 'is already taken' 錯誤並由頁面的 .error-messages 顯示，且 templates.md 也明訂了該錯誤文字範例。,,
P2-080,PR_terra_precise_S07_s1#1,S07,gpt-5.6-terra,precise,"await expect(page).toHaveURL(new RegExp(`${UI.replace(/[.*+?^${}()|[\]\\]/g, '\\$&')}/#/?$`))",specs/e2e/articles.spec.ts,76,81,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Delete the article
    await deleteArticle(page);

    // Should be redirected to home
    await expect(page).toHaveURL('/');",E2E 測試明確要求並測試在刪除文章後，使用者必須被重新導向回首頁（/）。,,
P2-081,PR_terra_precise_S07_s2#1,S07,gpt-5.6-terra,precise,"await expect(page).toHaveURL(new RegExp(`${UI.replace(/[.*+?^${}()|[\]\\]/g, '\\$&')}/#/?$`))",specs/e2e/articles.spec.ts,76,80,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Delete the article
    await deleteArticle(page);

    // Should be redirected to home
    await expect(page).toHaveURL('/');",公開的 E2E 測試明確斷言刪除文章後應重定向至首頁（'/'）。,,
P2-082,PR_terra_precise_S07_s3#1,S07,gpt-5.6-terra,precise,"await expect(page).toHaveURL(new RegExp(`${UI.replace(/[.*+?^${}()|[\]\\]/g, '\\$&')}/#/?$`))",specs/e2e/articles.spec.ts,76,81,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Delete the article
    await deleteArticle(page);

    // Should be redirected to home
    await expect(page).toHaveURL('/');",官方 E2E 測試明確斷言在刪除文章後，頁面應重定向至首頁（'/'）。,,
P2-083,PR_terra_precise_S12_s2#1,S12,gpt-5.6-terra,precise,await expect(page.locator('.pagination .page-item.active')).toHaveText('2'),specs/e2e/SELECTORS.md,213,213,ebbcdeb8d55b42a3a613c787560498b8ef10003f,- **Pagination active**: The current page's `.page-item` has the CSS class `active`.,契約明確規定當前分頁的 .page-item 元素必須具備 active CSS 類別，支持換到第 2 頁後該頁碼項目成為 active 的斷言。,,
P2-084,PR_terra_precise_S12_s3#2,S12,gpt-5.6-terra,precise,await expect(page).toHaveURL(/[#?&]page=2|offset=10/),specs/e2e/SELECTORS.md,147,147,ebbcdeb8d55b42a3a613c787560498b8ef10003f,| `/?page=N`                     | Paginated feed            |,SELECTORS.md 明確規定分頁列表的頁面路由格式包含 ?page=N。,,
P2-085,PR_terra_terse_H02_s1#1,H02,gpt-5.6-terra,concise,"await expect(page.getByText(article.title, { exact: true })).toBeVisible()",specs/e2e/articles.spec.ts,37,41,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should be on article page
    await expect(page).toHaveURL(/\/article\/.+/);

    // Should show article content
    await expect(page.locator('h1')).toHaveText(article.title);",E2E 規格明確斷言進入文章頁面後，應顯示該文章的標題（article.title）。,,
P2-086,PR_terra_terse_H02_s1#2,H02,gpt-5.6-terra,concise,"await expect(page.getByText(author.username, { exact: true }).first()).toBeVisible()",docs/src/content/docs/specifications/frontend/templates.md,490,495,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"        <div class=""article-meta"">
          <a href=""/profile/eric-simons""><img src=""http://i.imgur.com/Qr71crq.jpg"" /></a>
          <div class=""info"">
            <a href=""/profile/eric-simons"" class=""author"">Eric Simons</a>
            <span class=""date"">January 20th</span>
          </div>",規格範本明確規定文章頁（Article page）的 article-meta 區域應包含作者名稱（author username）連結與文字展示。,,
P2-087,PR_terra_terse_H02_s1#3,H02,gpt-5.6-terra,concise,"await expect(page.getByText(authorComment, { exact: true })).toBeVisible()",specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",官方 E2E 測試明確驗證文章頁上發布的留言內容必須在畫面上可見（toBeVisible）。,,
P2-088,PR_terra_terse_H02_s1#4,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete article/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,14,15,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)",規格明確規定文章頁的刪除文章按鈕僅對文章作者顯示，非作者或未登入訪客不應看到該按鈕。,,
P2-089,PR_terra_terse_H02_s1#5,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('link', { name: /edit article/i }), ).toHaveCount(0)",specs/e2e/articles.spec.ts,300,302,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();",E2E 測試明確斷言非作者的使用者造訪文章頁面時，不可看見 Edit Article 連結。,,
